"University of Kent","United Kingdom","Western Europe"
"Jichi Medical University","Japan","Eastern Asia"
"Roma Tre University","Italy","Western Europe"
"Chung Yuan Christian University","Taiwan","Eastern Asia"
"University of Haifa","Israel","Western Asia"
"Åbo Akademi University","Finland","Western Europe"
"Swansea University","United Kingdom","Western Europe"
"China Agricultural University","China","Eastern Asia"
"Marche Polytechnic University","Italy","Western Europe"
"University of Maine, Orono","USA","Caribbean"
"Heriot-Watt University","United Kingdom","Western Europe"
"Marquette University","USA","Caribbean"
"Loughborough University","United Kingdom","Western Europe"
"Kaiserslautern University of Technology","Germany","Western Europe"
"Aston University","United Kingdom","Western Europe"
"University of Girona","Spain","Western Europe"
"Hasselt University","Belgium","Western Europe"
"Nanjing University of Science and Technology","China","Eastern Asia"
"University of Natural Resources and Life Sciences, Vienna","Austria","Western Europe"
"University of Szeged","Hungary","Eastern Europe"
"Soochow University (Suzhou)","China","Eastern Asia"
"University of the Balearic Islands","Spain","Western Europe"
"Fuzhou University","China","Eastern Asia"
"University of Memphis","USA","Caribbean"
"San Francisco State University","USA","Caribbean"
"East Carolina University","USA","Caribbean"
"University of Augsburg","Germany","Western Europe"
"University of Missouri–St. Louis","USA","Caribbean"
"Kyoto Prefectural University of Medicine","Japan","Eastern Asia"
"Shanghai University","China","Eastern Asia"
"University of South Australia","Australia","Oceania"
"Liverpool John Moores University","United Kingdom","Western Europe"
"Graz University of Technology","Austria","Western Europe"
"Kitasato University","Japan","Eastern Asia"
"University of North Carolina at Charlotte","USA","Caribbean"
"G. d'Annunzio University, Chieti-Pescara","Italy","Western Europe"
"University of Cantabria","Spain","Western Europe"
"Miguel Hernández University of Elche","Spain","Western Europe"
"Donghua University","China","Eastern Asia"
"Comenius University in Bratislava","Slovak Republic","Eastern Europe"
"University of Alabama in Huntsville","USA","Caribbean"
"Mie University","Japan","Eastern Asia"
"University of Stirling","United Kingdom","Western Europe"
"Hunter College","USA","Caribbean"
"Swinburne University of Technology","Australia","Oceania"
"University of Ulster","United Kingdom","Western Europe"
"University of Évry Val d'Essonne","France","Western Europe"
"University of Salerno","Italy","Western Europe"
"National University of La Plata","Argentina","South America"
"Masaryk University","Czech Republic","Eastern Europe"
"Yamaguchi University","Japan","Eastern Asia"
"University of Yamanashi","Japan","Eastern Asia"
"Showa University","Japan","Eastern Asia"
"North Dakota State University - Main Campus","USA","Caribbean"
"University of North Texas, Denton","USA","Caribbean"
"University of Mississippi Medical Center","USA","Caribbean"
"University of Tehran","Iran","Southern Asia"
"Paul Valéry University, Montpellier III","France","Western Europe"
"Wuhan University of Technology","China","Eastern Asia"
"University of Hyogo","Japan","Eastern Asia"
"The Catholic University of America","USA","Caribbean"
"University of Neuchâtel","Switzerland","Western Europe"
"National Polytechnic Institute","Mexico","Central America"
"Jikei University School of Medicine","Japan","Eastern Asia"
"University of Valladolid","Spain","Western Europe"
"University of Calabria","Italy","Western Europe"
"University of Lübeck","Germany","Western Europe"
"Kurume University","Japan","Eastern Asia"
"Peking Union Medical College","China","Eastern Asia"
"Yamagata University","Japan","Eastern Asia"
"University of Córdoba (Spain)","Spain","Western Europe"
"University of Mons","Belgium","Western Europe"
"Saga University","Japan","Eastern Asia"
"Clarkson University","USA","Caribbean"
"University of South Alabama","USA","Caribbean"
"Inje University","South Korea","Eastern Asia"
"University of Caen Lower Normandy","France","Western Europe"
"University of Castilla–La Mancha","Spain","Western Europe"
"Czech Technical University in Prague","Czech Republic","Eastern Europe"
"Saitama Medical University","Japan","Eastern Asia"
"Istanbul Technical University","Turkey","Western Asia"
"Kaohsiung Medical University","Taiwan","Eastern Asia"
"University of Electro-Communications","Japan","Eastern Asia"
"Yeungnam University","South Korea","Eastern Asia"
"Jawaharlal Nehru Centre for Advanced Scientific Research","India","Southern Asia"
"Putra University, Malaysia","Malaysia","South-Eastern Asia"
"Institut national des sciences Appliquées de Lyon","France","Western Europe"
"University of Perpignan Via Domitia","France","Western Europe"
"University of Miyazaki","Japan","Eastern Asia"
"Second Military Medical University","China","Eastern Asia"
"Northern Arizona University","USA","Caribbean"
"École Polytechnique de Montréal","Canada","Caribbean"
"University of Salento","Italy","Western Europe"
"Fukuoka University","Japan","Eastern Asia"
"Nagoya Institute of Technology","Japan","Eastern Asia"
"Ankara University","Turkey","Western Asia"
"Blaise Pascal University","France","Western Europe"
"University of Electronic Science and Technology of China","China","Eastern Asia"
"National Sun Yat-sen University","Taiwan","Eastern Asia"
"University of Rouen","France","Western Europe"
"Bowling Green State University","USA","Caribbean"
"Norwegian University of Life Sciences","Norway","Western Europe"
"University of Picardie Jules Verne","France","Western Europe"
"Michigan Technological University","USA","Caribbean"
"University of Concepción","Chile","South America"
"China Medical University (Taiwan)","Taiwan","Eastern Asia"
"University of Hohenheim","Germany","Western Europe"
"Aberystwyth University","United Kingdom","Western Europe"
"Wilfrid Laurier University","Canada","Caribbean"
"Cairo University","Egypt","Northern Africa"
"University of Murcia","Spain","Western Europe"
"Palacký University, Olomouc","Czech Republic","Eastern Europe"
"Taipei Medical University","Taiwan","Eastern Asia"
"University of Bradford","United Kingdom","Western Europe"
"King Fahd University of Petroleum and Minerals","Saudi Arabia","Western Asia"
